Method	MaxD	QC	CNV_Region	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
FullSet	0	Raw	Tel	1991	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	Cen	17986	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	SegDup	49625	0	0	1	1	0	0	1	1	1
FullSet	0	QCd	Tel	1097	0	263	0.807	1	0.193	0	0.893	0.898	0.807
FullSet	0	QCd	Cen	10040	0	2168	0.822	1	0.178	0	0.903	0.907	0.822
FullSet	0	QCd	SegDup	29308	0	5344	0.846	1	0.154	0	0.916	0.92	0.846
PerfectMatch	0	Raw	Tel	251	2	1493	0.144	0.992	0.856	0.008	0.251	0.378	0.144
PerfectMatch	0	Raw	Cen	65	5	15322	0.004	0.929	0.996	0.071	0.008	0.063	0.004
PerfectMatch	0	Raw	SegDup	805	50	42014	0.019	0.942	0.981	0.058	0.037	0.133	0.019
PerfectMatch	0	QCd	Tel	104	1	1177	0.081	0.99	0.919	0.01	0.15	0.284	0.081
PerfectMatch	0	QCd	Cen	48	5	11254	0.004	0.906	0.996	0.094	0.008	0.062	0.004
PerfectMatch	0	QCd	SegDup	441	18	30504	0.014	0.961	0.986	0.039	0.028	0.117	0.014
BAF	10	Raw	Tel	395	7	1399	0.22	0.983	0.78	0.017	0.36	0.465	0.219
BAF	10	Raw	Cen	496	85	15151	0.032	0.854	0.968	0.146	0.061	0.165	0.032
BAF	10	Raw	SegDup	3134	256	39855	0.073	0.924	0.927	0.076	0.135	0.26	0.072
BAF	10	QCd	Tel	228	4	1498	0.132	0.983	0.868	0.017	0.233	0.36	0.132
BAF	10	QCd	Cen	189	36	15576	0.012	0.84	0.988	0.16	0.024	0.1	0.012
BAF	10	QCd	SegDup	2538	175	40463	0.059	0.935	0.941	0.065	0.111	0.235	0.059
BAF	50	Raw	Tel	418	11	1339	0.238	0.974	0.762	0.026	0.382	0.481	0.236
BAF	50	Raw	Cen	494	87	14554	0.033	0.85	0.967	0.15	0.063	0.167	0.033
BAF	50	Raw	SegDup	3978	330	38079	0.095	0.923	0.905	0.077	0.172	0.296	0.094
BAF	50	QCd	Tel	240	6	1482	0.139	0.976	0.861	0.024	0.244	0.369	0.139
BAF	50	QCd	Cen	196	44	15165	0.013	0.817	0.987	0.183	0.025	0.102	0.013
BAF	50	QCd	SegDup	2405	212	40829	0.056	0.919	0.944	0.081	0.105	0.226	0.055
BAF	100	Raw	Tel	486	8	1247	0.28	0.984	0.72	0.016	0.436	0.525	0.279
BAF	100	Raw	Cen	645	89	14242	0.043	0.879	0.957	0.121	0.083	0.195	0.043
