Method	MaxD	QC	Ref	Mat	CNV_Type	CNV_Size	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
FullSet	0	Raw	GSA	OEE	All	All	4587	16812	12742	0.265	0.214	0.735	0.786	0.237	0.238	0.134
FullSet	0	Raw	GSA	OEE	All	Small	3498	15893	11293	0.236	0.18	0.764	0.82	0.205	0.207	0.114
FullSet	0	Raw	GSA	OEE	All	Medium	1013	845	1343	0.43	0.545	0.57	0.455	0.481	0.484	0.316
FullSet	0	Raw	GSA	OEE	All	Large	76	74	75	0.503	0.507	0.497	0.493	0.505	0.505	0.338
FullSet	0	Raw	GSA	OEE	Deletions	All	2894	12729	5674	0.338	0.185	0.662	0.815	0.239	0.25	0.136
FullSet	0	Raw	GSA	OEE	Deletions	Small	2390	12043	5322	0.31	0.166	0.69	0.834	0.216	0.227	0.121
FullSet	0	Raw	GSA	OEE	Deletions	Medium	484	638	345	0.584	0.431	0.416	0.569	0.496	0.502	0.33
FullSet	0	Raw	GSA	OEE	Deletions	Large	20	48	5	0.8	0.294	0.2	0.706	0.43	0.485	0.274
FullSet	0	Raw	GSA	OEE	Duplications	All	1693	4083	7068	0.193	0.293	0.807	0.707	0.233	0.238	0.132
FullSet	0	Raw	GSA	OEE	Duplications	Small	1108	3850	5971	0.157	0.223	0.843	0.777	0.184	0.187	0.101
FullSet	0	Raw	GSA	OEE	Duplications	Medium	529	207	998	0.346	0.719	0.654	0.281	0.468	0.499	0.305
FullSet	0	Raw	GSA	OEE	Duplications	Large	56	26	70	0.444	0.683	0.556	0.317	0.538	0.551	0.368
FullSet	0	QCd	GSA	OEE	All	All	1658	3940	8686	0.16	0.296	0.84	0.704	0.208	0.218	0.116
FullSet	0	QCd	GSA	OEE	All	Small	1448	3916	7633	0.159	0.27	0.841	0.73	0.2	0.207	0.111
FullSet	0	QCd	GSA	OEE	All	Medium	172	22	1007	0.146	0.887	0.854	0.113	0.251	0.36	0.143
FullSet	0	QCd	GSA	OEE	All	Large	38	2	34	0.528	0.95	0.472	0.05	0.679	0.708	0.514
FullSet	0	QCd	GSA	OEE	Deletions	All	1065	2586	4457	0.193	0.292	0.807	0.708	0.232	0.237	0.131
FullSet	0	QCd	GSA	OEE	Deletions	Small	986	2582	4082	0.195	0.276	0.805	0.724	0.228	0.232	0.129
FullSet	0	QCd	GSA	OEE	Deletions	Medium	72	4	370	0.163	0.947	0.837	0.053	0.278	0.393	0.161
FullSet	0	QCd	GSA	OEE	Deletions	Large	7	0	2	0.778	1	0.222	0	0.875	0.882	0.778
FullSet	0	QCd	GSA	OEE	Duplications	All	593	1354	4229	0.123	0.305	0.877	0.695	0.175	0.194	0.096
FullSet	0	QCd	GSA	OEE	Duplications	Small	462	1334	3551	0.115	0.257	0.885	0.743	0.159	0.172	0.086
FullSet	0	QCd	GSA	OEE	Duplications	Medium	100	18	637	0.136	0.847	0.864	0.153	0.234	0.339	0.132
FullSet	0	QCd	GSA	OEE	Duplications	Large	31	2	32	0.492	0.939	0.508	0.061	0.646	0.68	0.477
PerfectMatch	0	Raw	GSA	OEE	All	All	1231	652	19609	0.059	0.654	0.941	0.346	0.108	0.197	0.057
PerfectMatch	0	Raw	GSA	OEE	All	Small	760	543	17393	0.042	0.583	0.958	0.417	0.078	0.156	0.041
PerfectMatch	0	Raw	GSA	OEE	All	Medium	426	105	2062	0.171	0.802	0.829	0.198	0.282	0.371	0.164
PerfectMatch	0	Raw	GSA	OEE	All	Large	45	4	103	0.304	0.918	0.696	0.082	0.457	0.528	0.296
PerfectMatch	0	Raw	GSA	OEE	Deletions	All	557	509	10528	0.05	0.523	0.95	0.477	0.092	0.162	0.048
PerfectMatch	0	Raw	GSA	OEE	Deletions	Small	405	421	9796	0.04	0.49	0.96	0.51	0.073	0.14	0.038
PerfectMatch	0	Raw	GSA	OEE	Deletions	Medium	138	84	718	0.161	0.622	0.839	0.378	0.256	0.317	0.147
PerfectMatch	0	Raw	GSA	OEE	Deletions	Large	14	4	11	0.56	0.778	0.44	0.222	0.651	0.66	0.483
PerfectMatch	0	Raw	GSA	OEE	Duplications	All	674	143	9081	0.069	0.825	0.931	0.175	0.128	0.239	0.068
PerfectMatch	0	Raw	GSA	OEE	Duplications	Small	355	122	7597	0.045	0.744	0.955	0.256	0.084	0.182	0.044
PerfectMatch	0	Raw	GSA	OEE	Duplications	Medium	288	21	1344	0.176	0.932	0.824	0.068	0.297	0.406	0.174
PerfectMatch	0	Raw	GSA	OEE	Duplications	Large	31	0	92	0.252	1	0.748	0	0.403	0.502	0.252
PerfectMatch	0	QCd	GSA	OEE	All	All	629	207	14052	0.043	0.752	0.957	0.248	0.081	0.18	0.042
PerfectMatch	0	QCd	GSA	OEE	All	Small	493	200	12415	0.038	0.711	0.962	0.289	0.072	0.165	0.038
PerfectMatch	0	QCd	GSA	OEE	All	Medium	113	7	1551	0.068	0.942	0.932	0.058	0.127	0.253	0.068
PerfectMatch	0	QCd	GSA	OEE	All	Large	23	0	58	0.284	1	0.716	0	0.442	0.533	0.284
PerfectMatch	0	QCd	GSA	OEE	Deletions	All	290	146	7568	0.037	0.665	0.963	0.335	0.07	0.157	0.036
PerfectMatch	0	QCd	GSA	OEE	Deletions	Small	246	141	6989	0.034	0.636	0.966	0.364	0.065	0.147	0.033
PerfectMatch	0	QCd	GSA	OEE	Deletions	Medium	36	5	567	0.06	0.878	0.94	0.122	0.112	0.229	0.059
PerfectMatch	0	QCd	GSA	OEE	Deletions	Large	8	0	6	0.571	1	0.429	0	0.727	0.756	0.571
PerfectMatch	0	QCd	GSA	OEE	Duplications	All	339	61	6484	0.05	0.848	0.95	0.152	0.094	0.205	0.049
PerfectMatch	0	QCd	GSA	OEE	Duplications	Small	247	59	5426	0.044	0.807	0.956	0.193	0.083	0.187	0.043
PerfectMatch	0	QCd	GSA	OEE	Duplications	Medium	77	2	984	0.073	0.975	0.927	0.025	0.135	0.266	0.072
PerfectMatch	0	QCd	GSA	OEE	Duplications	Large	15	0	52	0.224	1	0.776	0	0.366	0.473	0.224
BAF	10000	Raw	GSA	OEE	All	All	4129	7682	14911	0.217	0.35	0.783	0.65	0.268	0.275	0.155
BAF	10000	Raw	GSA	OEE	All	Small	3175	6962	13260	0.193	0.313	0.807	0.687	0.239	0.246	0.136
BAF	10000	Raw	GSA	OEE	All	Medium	887	658	1526	0.368	0.574	0.632	0.426	0.448	0.459	0.289
BAF	10000	Raw	GSA	OEE	All	Large	67	62	88	0.432	0.519	0.568	0.481	0.472	0.474	0.309
BAF	10000	Raw	GSA	OEE	Deletions	All	2589	5654	7053	0.269	0.314	0.731	0.686	0.29	0.29	0.169
BAF	10000	Raw	GSA	OEE	Deletions	Small	2138	5109	6624	0.244	0.295	0.756	0.705	0.267	0.268	0.154
BAF	10000	Raw	GSA	OEE	Deletions	Medium	432	512	421	0.506	0.458	0.494	0.542	0.481	0.481	0.316
BAF	10000	Raw	GSA	OEE	Deletions	Large	19	33	6	0.76	0.365	0.24	0.635	0.494	0.527	0.328
BAF	10000	Raw	GSA	OEE	Duplications	All	1540	2028	7858	0.164	0.432	0.836	0.568	0.238	0.266	0.135
BAF	10000	Raw	GSA	OEE	Duplications	Small	1037	1853	6636	0.135	0.359	0.865	0.641	0.196	0.22	0.109
BAF	10000	Raw	GSA	OEE	Duplications	Medium	455	146	1105	0.292	0.757	0.708	0.243	0.421	0.47	0.267
BAF	10000	Raw	GSA	OEE	Duplications	Large	48	29	82	0.369	0.623	0.631	0.377	0.464	0.48	0.302
BAF	10000	QCd	GSA	OEE	All	All	1678	2038	9640	0.148	0.452	0.852	0.548	0.223	0.259	0.126
BAF	10000	QCd	GSA	OEE	All	Small	1488	2019	8477	0.149	0.424	0.851	0.576	0.221	0.252	0.124
BAF	10000	QCd	GSA	OEE	All	Medium	153	16	1098	0.122	0.905	0.878	0.095	0.215	0.333	0.121
BAF	10000	QCd	GSA	OEE	All	Large	37	3	47	0.44	0.925	0.56	0.075	0.597	0.638	0.425
BAF	10000	QCd	GSA	OEE	Deletions	All	1093	1299	5080	0.177	0.457	0.823	0.543	0.255	0.284	0.146
BAF	10000	QCd	GSA	OEE	Deletions	Small	1012	1296	4680	0.178	0.438	0.822	0.562	0.253	0.279	0.145
BAF	10000	QCd	GSA	OEE	Deletions	Medium	74	3	392	0.159	0.961	0.841	0.039	0.273	0.391	0.158
BAF	10000	QCd	GSA	OEE	Deletions	Large	7	0	4	0.636	1	0.364	0	0.778	0.798	0.636
BAF	10000	QCd	GSA	OEE	Duplications	All	585	739	4560	0.114	0.442	0.886	0.558	0.181	0.224	0.099
BAF	10000	QCd	GSA	OEE	Duplications	Small	476	723	3797	0.111	0.397	0.889	0.603	0.174	0.21	0.095
BAF	10000	QCd	GSA	OEE	Duplications	Medium	79	13	706	0.101	0.859	0.899	0.141	0.18	0.294	0.099
BAF	10000	QCd	GSA	OEE	Duplications	Large	30	3	43	0.411	0.909	0.589	0.091	0.566	0.611	0.395
LRRmean	10000	Raw	GSA	OEE	All	All	4158	6333	15060	0.216	0.396	0.784	0.604	0.28	0.293	0.163
LRRmean	10000	Raw	GSA	OEE	All	Small	3188	5653	13405	0.192	0.361	0.808	0.639	0.251	0.263	0.143
LRRmean	10000	Raw	GSA	OEE	All	Medium	902	616	1534	0.37	0.594	0.63	0.406	0.456	0.469	0.296
LRRmean	10000	Raw	GSA	OEE	All	Large	68	64	85	0.444	0.515	0.556	0.485	0.477	0.478	0.313
LRRmean	10000	Raw	GSA	OEE	Deletions	All	2608	4549	7208	0.266	0.364	0.734	0.636	0.307	0.311	0.182
LRRmean	10000	Raw	GSA	OEE	Deletions	Small	2165	4051	6763	0.242	0.348	0.758	0.652	0.286	0.291	0.167
LRRmean	10000	Raw	GSA	OEE	Deletions	Medium	425	461	437	0.493	0.48	0.507	0.52	0.486	0.486	0.321
LRRmean	10000	Raw	GSA	OEE	Deletions	Large	18	37	6	0.75	0.327	0.25	0.673	0.456	0.495	0.295
LRRmean	10000	Raw	GSA	OEE	Duplications	All	1550	1784	7852	0.165	0.465	0.835	0.535	0.243	0.277	0.139
LRRmean	10000	Raw	GSA	OEE	Duplications	Small	1023	1602	6642	0.133	0.39	0.867	0.61	0.199	0.228	0.11
LRRmean	10000	Raw	GSA	OEE	Duplications	Medium	477	155	1097	0.303	0.755	0.697	0.245	0.432	0.478	0.276
LRRmean	10000	Raw	GSA	OEE	Duplications	Large	50	27	79	0.388	0.649	0.612	0.351	0.485	0.502	0.321
LRRmean	10000	QCd	GSA	OEE	All	All	2255	2033	15672	0.126	0.526	0.874	0.474	0.203	0.257	0.113
LRRmean	10000	QCd	GSA	OEE	All	Small	2020	2007	13769	0.128	0.502	0.872	0.498	0.204	0.253	0.114
LRRmean	10000	QCd	GSA	OEE	All	Medium	192	23	1811	0.096	0.893	0.904	0.107	0.173	0.293	0.095
LRRmean	10000	QCd	GSA	OEE	All	Large	43	3	72	0.374	0.935	0.626	0.065	0.534	0.591	0.364
LRRmean	10000	QCd	GSA	OEE	Deletions	All	1433	1280	7688	0.157	0.528	0.843	0.472	0.242	0.288	0.138
LRRmean	10000	QCd	GSA	OEE	Deletions	Small	1339	1275	7079	0.159	0.512	0.841	0.488	0.243	0.285	0.138
LRRmean	10000	QCd	GSA	OEE	Deletions	Medium	84	5	598	0.123	0.944	0.877	0.056	0.218	0.341	0.122
LRRmean	10000	QCd	GSA	OEE	Deletions	Large	10	0	7	0.588	1	0.412	0	0.741	0.767	0.588
LRRmean	10000	QCd	GSA	OEE	Duplications	All	822	753	7984	0.093	0.522	0.907	0.478	0.158	0.221	0.086
LRRmean	10000	QCd	GSA	OEE	Duplications	Small	681	732	6690	0.092	0.482	0.908	0.518	0.155	0.211	0.084
