Method	MaxD	Ref	Mat	QC	CNV_Region	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
FullSet	0	GSA	OEE	Raw	Tel	50	124	84	0.373	0.287	0.627	0.713	0.325	0.327	0.194
FullSet	0	GSA	OEE	Raw	Cen	104	541	960	0.098	0.161	0.902	0.839	0.122	0.126	0.065
FullSet	0	GSA	OEE	Raw	SegDup	635	1384	4705	0.119	0.315	0.881	0.685	0.173	0.193	0.094
FullSet	0	GSA	OEE	QCd	Tel	13	16	90	0.126	0.448	0.874	0.552	0.197	0.238	0.109
FullSet	0	GSA	OEE	QCd	Cen	33	69	656	0.048	0.324	0.952	0.676	0.083	0.124	0.044
FullSet	0	GSA	OEE	QCd	SegDup	147	124	3892	0.036	0.542	0.964	0.458	0.068	0.141	0.035
PerfectMatch	0	GSA	OEE	Raw	Tel	28	21	114	0.197	0.571	0.803	0.429	0.293	0.336	0.172
PerfectMatch	0	GSA	OEE	Raw	Cen	6	6	1226	0.005	0.5	0.995	0.5	0.01	0.049	0.005
PerfectMatch	0	GSA	OEE	Raw	SegDup	80	21	6379	0.012	0.792	0.988	0.208	0.024	0.099	0.012
PerfectMatch	0	GSA	OEE	QCd	Tel	12	11	98	0.109	0.522	0.891	0.478	0.18	0.239	0.099
PerfectMatch	0	GSA	OEE	QCd	Cen	5	1	862	0.006	0.833	0.994	0.167	0.011	0.069	0.006
PerfectMatch	0	GSA	OEE	QCd	SegDup	46	5	4552	0.01	0.902	0.99	0.098	0.02	0.095	0.01
BAF	10000	GSA	OEE	Raw	Tel	46	72	99	0.317	0.39	0.683	0.61	0.35	0.352	0.212
BAF	10000	GSA	OEE	Raw	Cen	97	382	1067	0.083	0.203	0.917	0.797	0.118	0.13	0.063
BAF	10000	GSA	OEE	Raw	SegDup	540	736	5356	0.092	0.423	0.908	0.577	0.151	0.197	0.081
BAF	10000	GSA	OEE	QCd	Tel	12	16	67	0.152	0.429	0.848	0.571	0.224	0.255	0.126
BAF	10000	GSA	OEE	QCd	Cen	35	158	680	0.049	0.181	0.951	0.819	0.077	0.094	0.04
BAF	10000	GSA	OEE	QCd	SegDup	122	46	4071	0.029	0.726	0.971	0.274	0.056	0.145	0.029
LRRmean	10000	GSA	OEE	Raw	Tel	45	71	102	0.306	0.388	0.694	0.612	0.342	0.345	0.206
LRRmean	10000	GSA	OEE	Raw	Cen	96	303	1073	0.082	0.241	0.918	0.759	0.122	0.141	0.065
LRRmean	10000	GSA	OEE	Raw	SegDup	556	669	5387	0.094	0.454	0.906	0.546	0.155	0.206	0.084
LRRmean	10000	GSA	OEE	QCd	Tel	14	24	131	0.097	0.368	0.903	0.632	0.153	0.189	0.083
LRRmean	10000	GSA	OEE	QCd	Cen	19	18	1074	0.017	0.514	0.983	0.486	0.034	0.094	0.017
LRRmean	10000	GSA	OEE	QCd	SegDup	150	60	5691	0.026	0.714	0.974	0.286	0.05	0.135	0.025
LRRsd	10000	GSA	OEE	Raw	Tel	47	67	98	0.324	0.412	0.676	0.588	0.363	0.366	0.222
LRRsd	10000	GSA	OEE	Raw	Cen	96	310	1067	0.083	0.236	0.917	0.764	0.122	0.14	0.065
LRRsd	10000	GSA	OEE	Raw	SegDup	559	690	5395	0.094	0.448	0.906	0.552	0.155	0.205	0.084
LRRsd	10000	GSA	OEE	QCd	Tel	15	24	119	0.112	0.385	0.888	0.615	0.173	0.207	0.095
LRRsd	10000	GSA	OEE	QCd	Cen	21	20	1115	0.018	0.512	0.982	0.488	0.036	0.097	0.018
LRRsd	10000	GSA	OEE	QCd	SegDup	155	61	5892	0.026	0.718	0.974	0.282	0.049	0.136	0.025
Pos	10000	GSA	OEE	Raw	Tel	45	67	97	0.317	0.402	0.683	0.598	0.354	0.357	0.215
Pos	10000	GSA	OEE	Raw	Cen	88	288	1082	0.075	0.234	0.925	0.766	0.114	0.133	0.06
Pos	10000	GSA	OEE	Raw	SegDup	549	751	5332	0.093	0.422	0.907	0.578	0.153	0.199	0.083
Pos	10000	GSA	OEE	QCd	Tel	12	26	107	0.101	0.316	0.899	0.684	0.153	0.178	0.083
Pos	10000	GSA	OEE	QCd	Cen	11	11	939	0.012	0.5	0.988	0.5	0.023	0.076	0.011
Pos	10000	GSA	OEE	QCd	SegDup	145	82	4973	0.028	0.639	0.972	0.361	0.054	0.135	0.028
FullSet	0	OEE	GSA	Raw	Tel	64	124	79	0.448	0.34	0.552	0.66	0.387	0.39	0.24
FullSet	0	OEE	GSA	Raw	Cen	116	1307	377	0.235	0.082	0.765	0.918	0.121	0.138	0.064
FullSet	0	OEE	GSA	Raw	SegDup	648	6770	737	0.468	0.087	0.532	0.913	0.147	0.202	0.079
FullSet	0	OEE	GSA	QCd	Tel	24	18	109	0.18	0.571	0.82	0.429	0.274	0.321	0.159
FullSet	0	OEE	GSA	QCd	Cen	34	404	429	0.073	0.078	0.927	0.922	0.075	0.076	0.039
FullSet	0	OEE	GSA	QCd	SegDup	221	1337	1120	0.165	0.142	0.835	0.858	0.152	0.153	0.083
PerfectMatch	0	OEE	GSA	Raw	Tel	43	21	119	0.265	0.672	0.735	0.328	0.381	0.422	0.235
PerfectMatch	0	OEE	GSA	Raw	Cen	10	11	576	0.017	0.476	0.983	0.524	0.033	0.09	0.017
PerfectMatch	0	OEE	GSA	Raw	SegDup	92	21	1726	0.051	0.814	0.949	0.186	0.095	0.203	0.05
PerfectMatch	0	OEE	GSA	QCd	Tel	17	13	109	0.135	0.567	0.865	0.433	0.218	0.277	0.122
PerfectMatch	0	OEE	GSA	QCd	Cen	8	8	430	0.018	0.5	0.982	0.5	0.035	0.096	0.018
PerfectMatch	0	OEE	GSA	QCd	SegDup	56	6	1434	0.038	0.903	0.962	0.097	0.072	0.184	0.037
BAF	10000	OEE	GSA	Raw	Tel	52	90	91	0.364	0.366	0.636	0.634	0.365	0.365	0.223
BAF	10000	OEE	GSA	Raw	Cen	82	123	429	0.16	0.4	0.84	0.6	0.229	0.253	0.129
BAF	10000	OEE	GSA	Raw	SegDup	458	844	1050	0.304	0.352	0.696	0.648	0.326	0.327	0.195
BAF	10000	OEE	GSA	QCd	Tel	20	18	102	0.164	0.526	0.836	0.474	0.25	0.294	0.143
BAF	10000	OEE	GSA	QCd	Cen	21	41	431	0.046	0.339	0.954	0.661	0.082	0.125	0.043
BAF	10000	OEE	GSA	QCd	SegDup	188	97	1221	0.133	0.66	0.867	0.34	0.222	0.297	0.125
LRRmean	10000	OEE	GSA	Raw	Tel	51	92	91	0.359	0.357	0.641	0.643	0.358	0.358	0.218
LRRmean	10000	OEE	GSA	Raw	Cen	79	123	430	0.155	0.391	0.845	0.609	0.222	0.246	0.125
