Method	MaxD	QC	Ref	Mat	LEN_Cutoff	N_SNP_Cutoff	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
FullSet	0	Raw	GSA	OEE	20000	10	1780	3434	4748	0.273	0.341	0.727	0.659	0.303	0.305	0.179
FullSet	0	QCd	GSA	OEE	20000	10	1060	783	2324	0.313	0.575	0.687	0.425	0.406	0.424	0.254
FullSet	0	Raw	GSA	OEE	20000	15	1280	2489	3292	0.28	0.34	0.72	0.66	0.307	0.308	0.181
FullSet	0	QCd	GSA	OEE	20000	15	765	458	1506	0.337	0.626	0.663	0.374	0.438	0.459	0.28
FullSet	0	Raw	GSA	OEE	20000	20	942	2075	2337	0.287	0.312	0.713	0.688	0.299	0.299	0.176
FullSet	0	QCd	GSA	OEE	20000	20	566	396	1048	0.351	0.588	0.649	0.412	0.439	0.454	0.282
FullSet	0	Raw	GSA	OEE	20000	25	713	1680	1687	0.297	0.298	0.703	0.702	0.298	0.298	0.175
FullSet	0	QCd	GSA	OEE	20000	25	428	305	759	0.361	0.584	0.639	0.416	0.446	0.459	0.287
FullSet	0	Raw	GSA	OEE	20000	30	562	1401	1239	0.312	0.286	0.688	0.714	0.299	0.299	0.176
FullSet	0	QCd	GSA	OEE	20000	30	336	271	544	0.382	0.554	0.618	0.446	0.452	0.46	0.292
FullSet	0	Raw	GSA	OEE	20000	35	462	1162	942	0.329	0.284	0.671	0.716	0.305	0.306	0.18
FullSet	0	QCd	GSA	OEE	20000	35	273	211	407	0.401	0.564	0.599	0.436	0.469	0.476	0.306
FullSet	0	Raw	GSA	OEE	20000	40	402	967	669	0.375	0.294	0.625	0.706	0.33	0.332	0.197
FullSet	0	QCd	GSA	OEE	20000	40	233	167	294	0.442	0.583	0.558	0.418	0.503	0.507	0.336
FullSet	0	Raw	GSA	OEE	20000	45	340	824	521	0.395	0.292	0.605	0.708	0.336	0.34	0.202
FullSet	0	QCd	GSA	OEE	20000	45	198	147	209	0.486	0.574	0.514	0.426	0.527	0.528	0.357
FullSet	0	Raw	GSA	OEE	20000	50	278	736	401	0.409	0.274	0.591	0.726	0.328	0.335	0.196
FullSet	0	QCd	GSA	OEE	20000	50	163	124	151	0.519	0.568	0.481	0.432	0.542	0.543	0.372
FullSet	0	Raw	GSA	OEE	40000	10	1433	2256	3494	0.291	0.388	0.709	0.612	0.333	0.336	0.199
FullSet	0	QCd	GSA	OEE	40000	10	853	424	1679	0.337	0.668	0.663	0.332	0.448	0.474	0.289
FullSet	0	Raw	GSA	OEE	40000	15	1173	1781	2577	0.313	0.397	0.687	0.603	0.35	0.352	0.212
FullSet	0	QCd	GSA	OEE	40000	15	699	292	1196	0.369	0.705	0.631	0.295	0.484	0.51	0.32
FullSet	0	Raw	GSA	OEE	40000	20	902	1623	1902	0.322	0.357	0.678	0.643	0.339	0.339	0.204
FullSet	0	QCd	GSA	OEE	40000	20	540	302	867	0.384	0.641	0.616	0.359	0.48	0.496	0.316
FullSet	0	Raw	GSA	OEE	40000	25	696	1373	1442	0.326	0.336	0.674	0.664	0.331	0.331	0.198
FullSet	0	QCd	GSA	OEE	40000	25	417	250	640	0.395	0.625	0.605	0.375	0.484	0.497	0.319
FullSet	0	Raw	GSA	OEE	40000	30	552	1167	1080	0.338	0.321	0.662	0.679	0.329	0.33	0.197
FullSet	0	QCd	GSA	OEE	40000	30	329	231	471	0.411	0.588	0.589	0.412	0.484	0.492	0.319
FullSet	0	Raw	GSA	OEE	40000	35	457	984	821	0.358	0.317	0.642	0.683	0.336	0.337	0.202
FullSet	0	QCd	GSA	OEE	40000	35	270	182	355	0.432	0.597	0.568	0.403	0.501	0.508	0.335
FullSet	0	Raw	GSA	OEE	40000	40	398	836	597	0.4	0.323	0.6	0.677	0.357	0.359	0.217
FullSet	0	QCd	GSA	OEE	40000	40	230	152	259	0.47	0.602	0.53	0.398	0.528	0.532	0.359
FullSet	0	Raw	GSA	OEE	40000	45	338	724	476	0.415	0.318	0.585	0.682	0.36	0.364	0.22
FullSet	0	QCd	GSA	OEE	40000	45	197	137	189	0.51	0.59	0.49	0.41	0.547	0.549	0.377
FullSet	0	Raw	GSA	OEE	40000	50	277	650	375	0.425	0.299	0.575	0.701	0.351	0.356	0.213
FullSet	0	QCd	GSA	OEE	40000	50	162	115	142	0.533	0.585	0.467	0.415	0.558	0.558	0.387
FullSet	0	Raw	GSA	OEE	60000	10	1179	1542	2602	0.312	0.433	0.688	0.567	0.363	0.368	0.221
FullSet	0	QCd	GSA	OEE	60000	10	707	266	1224	0.366	0.727	0.634	0.273	0.487	0.516	0.322
FullSet	0	Raw	GSA	OEE	60000	15	1017	1298	2000	0.337	0.439	0.663	0.561	0.381	0.385	0.236
FullSet	0	QCd	GSA	OEE	60000	15	613	172	922	0.399	0.781	0.601	0.219	0.528	0.558	0.359
FullSet	0	Raw	GSA	OEE	60000	20	835	1266	1567	0.348	0.397	0.652	0.603	0.371	0.372	0.228
FullSet	0	QCd	GSA	OEE	60000	20	505	209	711	0.415	0.707	0.585	0.293	0.523	0.542	0.354
FullSet	0	Raw	GSA	OEE	60000	25	665	1119	1215	0.354	0.373	0.646	0.627	0.363	0.363	0.222
FullSet	0	QCd	GSA	OEE	60000	25	404	192	539	0.428	0.678	0.572	0.322	0.525	0.539	0.356
FullSet	0	Raw	GSA	OEE	60000	30	538	1015	954	0.361	0.346	0.639	0.654	0.353	0.353	0.215
FullSet	0	QCd	GSA	OEE	60000	30	325	198	417	0.438	0.621	0.562	0.379	0.514	0.522	0.346
FullSet	0	Raw	GSA	OEE	60000	35	450	881	751	0.375	0.338	0.625	0.662	0.355	0.356	0.216
FullSet	0	QCd	GSA	OEE	60000	35	266	172	328	0.448	0.607	0.552	0.393	0.516	0.521	0.347
FullSet	0	Raw	GSA	OEE	60000	40	394	753	561	0.413	0.344	0.587	0.656	0.375	0.376	0.231
FullSet	0	QCd	GSA	OEE	60000	40	228	143	245	0.482	0.615	0.518	0.385	0.54	0.544	0.37
FullSet	0	Raw	GSA	OEE	60000	45	335	659	452	0.426	0.337	0.574	0.663	0.376	0.379	0.232
FullSet	0	QCd	GSA	OEE	60000	45	195	134	182	0.517	0.593	0.483	0.407	0.552	0.554	0.382
FullSet	0	Raw	GSA	OEE	60000	50	275	591	360	0.433	0.318	0.567	0.682	0.366	0.371	0.224
FullSet	0	QCd	GSA	OEE	60000	50	161	112	137	0.54	0.59	0.46	0.41	0.564	0.564	0.393
FullSet	0	Raw	GSA	OEE	80000	10	985	1253	2004	0.33	0.44	0.67	0.56	0.377	0.381	0.232
FullSet	0	QCd	GSA	OEE	80000	10	596	230	934	0.39	0.722	0.61	0.278	0.506	0.53	0.339
FullSet	0	Raw	GSA	OEE	80000	15	858	1076	1589	0.351	0.444	0.649	0.556	0.392	0.394	0.244
FullSet	0	QCd	GSA	OEE	80000	15	522	166	727	0.418	0.759	0.582	0.241	0.539	0.563	0.369
FullSet	0	Raw	GSA	OEE	80000	20	737	1045	1310	0.36	0.414	0.64	0.586	0.385	0.386	0.238
FullSet	0	QCd	GSA	OEE	80000	20	449	187	598	0.429	0.706	0.571	0.294	0.534	0.55	0.364
FullSet	0	Raw	GSA	OEE	80000	25	607	951	1052	0.366	0.39	0.634	0.61	0.377	0.378	0.233
FullSet	0	QCd	GSA	OEE	80000	25	371	177	476	0.438	0.677	0.562	0.323	0.532	0.545	0.362
FullSet	0	Raw	GSA	OEE	80000	30	500	892	830	0.376	0.359	0.624	0.641	0.367	0.367	0.225
FullSet	0	QCd	GSA	OEE	80000	30	303	185	366	0.453	0.621	0.547	0.379	0.524	0.53	0.355
FullSet	0	Raw	GSA	OEE	80000	35	434	779	660	0.397	0.358	0.603	0.642	0.376	0.377	0.232
FullSet	0	QCd	GSA	OEE	80000	35	255	165	291	0.467	0.607	0.533	0.393	0.528	0.532	0.359
FullSet	0	Raw	GSA	OEE	80000	40	384	681	509	0.43	0.361	0.57	0.639	0.392	0.394	0.244
FullSet	0	QCd	GSA	OEE	80000	40	221	138	223	0.498	0.616	0.502	0.384	0.55	0.554	0.38
FullSet	0	Raw	GSA	OEE	80000	45	330	604	385	0.462	0.353	0.538	0.647	0.4	0.404	0.25
FullSet	0	QCd	GSA	OEE	80000	45	192	129	171	0.529	0.598	0.471	0.402	0.561	0.562	0.39
FullSet	0	Raw	GSA	OEE	80000	50	274	542	301	0.477	0.336	0.523	0.664	0.394	0.4	0.245
FullSet	0	QCd	GSA	OEE	80000	50	160	104	127	0.557	0.606	0.443	0.394	0.581	0.581	0.409
FullSet	0	Raw	GSA	OEE	100000	10	735	953	1468	0.334	0.435	0.666	0.565	0.378	0.381	0.233
