Factor	MaxD	N_SNP	OMNI_Coverage	GSA_Coverage	MaxD_LOG	FactorN	FactorF	OEE_Coverage
FullSet	0	2376441	1	3.53	-Inf	Full Set	Full Set	NA
PerfectMatch	0	128562	0.05	0.19	-Inf	Perfect Match	Perfect Match	NA
Pos	10	300613	0.13	0.45	1	Distance	Distance	NA
Pos	50	330792	0.14	0.49	1.6989700043360187	Distance	Distance	NA
Pos	100	361931	0.15	0.54	2	Distance	Distance	NA
Pos	500	496137	0.21	0.74	2.6989700043360187	Distance	Distance	NA
Pos	1000	567359	0.24	0.84	3	Distance	Distance	NA
Pos	5000	654122	0.28	0.97	3.6989700043360187	Distance	Distance	NA
Pos	10000	661711	0.28	0.98	4	Distance	Distance	NA
Pos	50000	667381	0.28	0.99	4.698970004336019	Distance	Distance	NA
Pos	100000	669128	0.28	0.99	5	Distance	Distance	NA
Pos	500000	672827	0.28	1	5.698970004336019	Distance	Distance	NA
Pos	1000000	673254	0.28	1	6	Distance	Distance	NA
Pos	5000000	673639	0.28	1	6.698970004336019	Distance	Distance	NA
BAF	10	300616	0.13	0.45	1	BAF	BAF	NA
BAF	50	330795	0.14	0.49	1.6989700043360187	BAF	BAF	NA
BAF	100	361967	0.15	0.54	2	BAF	BAF	NA
BAF	500	496367	0.21	0.74	2.6989700043360187	BAF	BAF	NA
BAF	1000	567745	0.24	0.84	3	BAF	BAF	NA
BAF	5000	654465	0.28	0.97	3.6989700043360187	BAF	BAF	NA
BAF	10000	661820	0.28	0.98	4	BAF	BAF	NA
BAF	50000	667366	0.28	0.99	4.698970004336019	BAF	BAF	NA
BAF	100000	669113	0.28	0.99	5	BAF	BAF	NA
BAF	500000	672863	0.28	1	5.698970004336019	BAF	BAF	NA
BAF	1000000	673264	0.28	1	6	BAF	BAF	NA
BAF	5000000	673729	0.28	1	6.698970004336019	BAF	BAF	NA
LRRsd	10	300616	0.13	0.45	1	LRR sd	LRR sd	NA
LRRsd	50	330791	0.14	0.49	1.6989700043360187	LRR sd	LRR sd	NA
LRRsd	100	361972	0.15	0.54	2	LRR sd	LRR sd	NA
LRRsd	500	496336	0.21	0.74	2.6989700043360187	LRR sd	LRR sd	NA
LRRsd	1000	567825	0.24	0.84	3	LRR sd	LRR sd	NA
LRRsd	5000	654592	0.28	0.97	3.6989700043360187	LRR sd	LRR sd	NA
LRRsd	10000	661909	0.28	0.98	4	LRR sd	LRR sd	NA
LRRsd	50000	667426	0.28	0.99	4.698970004336019	LRR sd	LRR sd	NA
LRRsd	100000	669140	0.28	0.99	5	LRR sd	LRR sd	NA
LRRsd	500000	672841	0.28	1	5.698970004336019	LRR sd	LRR sd	NA
LRRsd	1000000	673261	0.28	1	6	LRR sd	LRR sd	NA
LRRsd	5000000	673708	0.28	1	6.698970004336019	LRR sd	LRR sd	NA
LRRmean	10	300614	0.13	0.45	1	LRR mean	LRR mean	NA
LRRmean	50	330789	0.14	0.49	1.6989700043360187	LRR mean	LRR mean	NA
LRRmean	100	361963	0.15	0.54	2	LRR mean	LRR mean	NA
LRRmean	500	496361	0.21	0.74	2.6989700043360187	LRR mean	LRR mean	NA
LRRmean	1000	567779	0.24	0.84	3	LRR mean	LRR mean	NA
LRRmean	5000	654557	0.28	0.97	3.6989700043360187	LRR mean	LRR mean	NA
LRRmean	10000	661883	0.28	0.98	4	LRR mean	LRR mean	NA
LRRmean	50000	667416	0.28	0.99	4.698970004336019	LRR mean	LRR mean	NA
LRRmean	100000	669138	0.28	0.99	5	LRR mean	LRR mean	NA
LRRmean	500000	672856	0.28	1	5.698970004336019	LRR mean	LRR mean	NA
LRRmean	1000000	673258	0.28	1	6	LRR mean	LRR mean	NA
LRRmean	5000000	673714	0.28	1	6.698970004336019	LRR mean	LRR mean	NA
FullSet	0	672590	NA	1	-Inf	Full Set	Full Set	0.72
PerfectMatch	0	132849	NA	0.2	-Inf	Perfect Match	Perfect Match	0.14
Pos	10000	583054	NA	0.87	4	Distance	Distance	0.63
BAF	10000	582660	NA	0.87	4	BAF	BAF	0.63
LRRsd	10000	583710	NA	0.87	4	LRR sd	LRR sd	0.63
LRRmean	10000	582881	NA	0.87	4	LRR mean	LRR mean	0.63
FullSet	0	931967	NA	1.39	-Inf	Full Set	Full Set	1
PerfectMatch	0	132849	NA	0.2	-Inf	Perfect Match	Perfect Match	0.14
Pos	10000	593011	NA	0.88	4	Distance	Distance	0.64
BAF	10000	592617	NA	0.88	4	BAF	BAF	0.64
LRRsd	10000	593667	NA	0.88	4	LRR sd	LRR sd	0.64
LRRmean	10000	592838	NA	0.88	4	LRR mean	LRR mean	0.64
