Matching	Reference	FactorN	MaxD	Min	Med	Mean	Max	StDev	IQR
GSA	OEE	BAF	10000	-4.0923362520789315	-0.00301072999792866	-0.006702501323095994	9.796314	0.04965873328135638	0.005903806345759958
GSA	OEE	Distance	10000	-4.0923362520789315	-0.003012423806688665	-0.006729755330040171	9.796314	0.04926890932851049	0.005906749896401827
GSA	OEE	Full Set	0	-4.0923362520789315	-0.00312483155806396	-0.007051030279757492	9.796314	0.05190000775075595	0.00604820124858202
GSA	OEE	LRR mean	10000	-4.0923362520789315	-0.00301233982009373	-0.006729334631405577	9.796314	0.04921600337317136	0.00590705809680563
GSA	OEE	LRR sd	10000	-4.0923362520789315	-0.00301222235488227	-0.0067264089608811235	9.796314	0.0491887187839057	0.005906779852469408
GSA	OEE	Perfect Match	0	-0.29756279236700767	-0.001593884856654075	-0.0034098205868417523	4.68898305	0.01872159236523023	0.005643954217280928
OEE	GSA	BAF	10000	-6.061532063112959	-0.00314452650600715	-0.010072426169304526	2.276866527917172	0.11805937973158658	0.008993033425132291
OEE	GSA	Distance	10000	-6.061532063112959	-0.00293034669386969	-0.008697661038397177	2.6028670841463413	0.1008833715774016	0.008997316930089434
OEE	GSA	Full Set	0	-6.061532063112959	-0.00305319710009438	-0.009632000430282945	2.6028670841463413	0.10849333550272125	0.009065897262718288
OEE	GSA	LRR mean	10000	-5.822369006168954	-0.00309873900184501	-0.006725506758448156	1.88224958272717	0.07023355790762675	0.007695729375873944
OEE	GSA	LRR sd	10000	-5.822369006168954	-0.00268670461666454	-0.006732095413556589	1.88224958272717	0.07845685458883547	0.008490594865314793
OEE	GSA	Perfect Match	0	-5.4597563451276105	-0.0025063596820102	-0.00576201269313932	0.12354414519234694	0.07606878436693643	0.00853526042926706
OMNI	GSA	BAF	10	-0.7995952239952144	-0.001555869712480625	-0.002546977033571251	10.285239642857142	0.020137352844809116	0.003664145148711503
OMNI	GSA	BAF	100	-2.027320630249729	-0.00166765527847172	-0.0027113581551878887	10.285239642857142	0.019465121006938556	0.0036475390077808536
OMNI	GSA	BAF	1000	-2.8296321359511576	-0.00200256317208388	-0.0032079781938898874	10.285239642857142	0.023961353823616114	0.0034399836857548034
OMNI	GSA	BAF	10000	-5.010158936610714	-0.00224598923012128	-0.003675535065711462	10.285239642857142	0.021439544636842178	0.003178142489725468
OMNI	GSA	BAF	100000	-5.010158936610714	-0.00227580991788338	-0.003813157240307136	10.285239642857142	0.022429887983338427	0.0032371990062600997
OMNI	GSA	BAF	1000000	-5.010158936610714	-0.002299823403716695	-0.003890818298056425	10.285239642857142	0.021031492340113055	0.003259391369432303
OMNI	GSA	BAF	50	-2.027320630249729	-0.00161384160648053	-0.0026421543239135365	10.285239642857142	0.02008094278506911	0.003661338438862874
OMNI	GSA	BAF	500	-2.027320630249729	-0.00188042555425632	-0.0030254216555612432	10.285239642857142	0.025099829924575136	0.0035428393195631766
OMNI	GSA	BAF	5000	-2.39586721225958	-0.00221141317714825	-0.003571256984521422	10.285239642857142	0.017167859751131352	0.0031873314295240585
OMNI	GSA	BAF	50000	-5.010158936610714	-0.00226795044251211	-0.0038025864071156838	10.285239642857142	0.02090241981185377	0.003227090653079098
OMNI	GSA	BAF	500000	-5.010158936610714	-0.00228997364761567	-0.0038769733090699347	10.285239642857142	0.02087040689853194	0.003254164977352935
OMNI	GSA	BAF	5000000	-5.010158936610714	-0.00231145238868098	-0.003942826847914549	10.285239642857142	0.021126128496555725	0.00331270162337219
OMNI	GSA	Distance	10	-0.7995952239952144	-0.00155595943858437	-0.0025474295359084794	10.285239642857142	0.020137954652851828	0.0036644635011321386
OMNI	GSA	Distance	100	-2.027320630249729	-0.00165916101058032	-0.0027048264629852157	10.285239642857142	0.0194152868667202	0.00366031577374119
OMNI	GSA	Distance	1000	-2.8296321359511576	-0.00187811441483964	-0.003065665553274794	10.285239642857142	0.021724455527926713	0.0036454179634287888
OMNI	GSA	Distance	10000	-2.8296321359511576	-0.0019640527086632	-0.0032366317687186398	10.285239642857142	0.020918944612706374	0.003651251287196373
OMNI	GSA	Distance	100000	-2.8296321359511576	-0.0019703832959550097	-0.003258981828496337	10.285239642857142	0.020942626527463256	0.0036525277347512295
OMNI	GSA	Distance	1000000	-2.8296321359511576	-0.0019732785252869903	-0.003265424098781844	10.285239642857142	0.020899053563386685	0.0036528708578653433
OMNI	GSA	Distance	50	-2.027320630249729	-0.00161197426113498	-0.0026442161762737903	10.285239642857142	0.020120806947448912	0.003665134322550644
OMNI	GSA	Distance	500	-2.027320630249729	-0.00181080616391016	-0.0029477394008829375	10.285239642857142	0.02241751463362616	0.003646853323750343
OMNI	GSA	Distance	5000	-2.8296321359511576	-0.001956560064332845	-0.0032193936656170308	10.285239642857142	0.020972776102349718	0.0036493673265074935
OMNI	GSA	Distance	50000	-2.8296321359511576	-0.00196895506514515	-0.0032569745696434398	10.285239642857142	0.02096696074777465	0.003653379071558172
OMNI	GSA	Distance	500000	-2.8296321359511576	-0.00197309578176344	-0.0032651876116592264	10.285239642857142	0.02090513549831669	0.0036523024125098397
OMNI	GSA	Distance	5000000	-2.8296321359511576	-0.0019739345775444	-0.0032661526722083177	10.285239642857142	0.020893848383543242	0.0036532625640794117
OMNI	GSA	Full Set	0	-5.010158936610714	-0.002142927284800495	-0.0035995630124904306	10.35385368181818	0.02331907310374325	0.003570147030475683
OMNI	GSA	LRR mean	10	-0.7995952239952144	-0.0015561647051794201	-0.0025462098607092654	10.285239642857142	0.02013653654212671	0.0036638391321256597
OMNI	GSA	LRR mean	100	-2.027320630249729	-0.00166679677604732	-0.0026861071057652556	10.285239642857142	0.01908237494305515	0.0036382959135292637
OMNI	GSA	LRR mean	1000	-2.8296321359511576	-0.00201241939581483	-0.0030413375562155917	10.285239642857142	0.020860574421799342	0.0034071083347874736
OMNI	GSA	LRR mean	10000	-1.7858253545567435	-0.00246430043106679	-0.003927970529607363	10.285239642857142	0.015260347484166686	0.004138493007543716
OMNI	GSA	LRR mean	100000	-2.1190344763526348	-0.00257223867912357	-0.004876722465186441	10.285239642857142	0.016687749039665356	0.004976356018791705
OMNI	GSA	LRR mean	1000000	-2.1190344763526348	-0.00259747286323188	-0.005440065218805971	10.285239642857142	0.018815004154621347	0.005054125508261701
OMNI	GSA	LRR mean	50	-2.027320630249729	-0.00161473695764886	-0.0026369766487135283	10.285239642857142	0.020064435542357987	0.0036600391242810094
OMNI	GSA	LRR mean	500	-2.027320630249729	-0.00187821423289287	-0.002905436498033255	10.285239642857142	0.021848887386215092	0.0034963981661969637
OMNI	GSA	LRR mean	5000	-1.7858253545567435	-0.00235404344778268	-0.0035825424067703177	10.285239642857142	0.015248547617245761	0.003684820772254274
OMNI	GSA	LRR mean	50000	-2.1190344763526348	-0.00256044917286212	-0.004644947694301234	10.285239642857142	0.016179067907007485	0.004882972471415963
OMNI	GSA	LRR mean	500000	-2.1190344763526348	-0.0025867250885422202	-0.005292331009893853	10.285239642857142	0.018039108116763476	0.005030445665553138
OMNI	GSA	LRR mean	5000000	-2.1190344763526348	-0.00260127091984629	-0.005716738662628657	10.285239642857142	0.021350529769712388	0.00508878441466587
OMNI	GSA	LRR sd	10	-0.7995952239952144	-0.00155608882306549	-0.002546459524554462	10.285239642857142	0.02013686569997073	0.0036643088583634387
OMNI	GSA	LRR sd	100	-2.027320630249729	-0.0016588889528608	-0.002675715881857207	10.285239642857142	0.019079959782486083	0.003652155648187117
OMNI	GSA	LRR sd	1000	-2.8296321359511576	-0.00191606300678166	-0.00291595816392136	10.285239642857142	0.020968570297958334	0.003647548461371471
OMNI	GSA	LRR sd	10000	-1.7858253545567435	-0.00223335305098678	-0.0036585917535223124	10.285239642857142	0.01536199090924152	0.0043084069128278306
OMNI	GSA	LRR sd	100000	-2.1190344763526348	-0.00230262386954471	-0.0044845470046083425	10.285239642857142	0.021875581129607476	0.004816480652895329
OMNI	GSA	LRR sd	1000000	-5.010158936610714	-0.00230766497677998	-0.004899249264270834	10.35385368181818	0.033857845300562094	0.004869659336165596
OMNI	GSA	LRR sd	50	-2.027320630249729	-0.00161224153994335	-0.0026343073606519963	10.285239642857142	0.020065410783496683	0.0036638362490567828
OMNI	GSA	LRR sd	500	-2.027320630249729	-0.001822959922840185	-0.0028375812782977647	10.285239642857142	0.021870074048560725	0.0036233637324206733
OMNI	GSA	LRR sd	5000	-1.7858253545567435	-0.002154077080059975	-0.0033420449488934163	10.285239642857142	0.01526169936928247	0.004006888313707439
OMNI	GSA	LRR sd	50000	-5.010158936610714	-0.0023006829204895753	-0.004288664665342329	10.285239642857142	0.022124397652759982	0.004763572324111777
OMNI	GSA	LRR sd	500000	-5.010158936610714	-0.00230736942783904	-0.004806935911551982	10.35385368181818	0.029955649399095813	0.0048483598167742845
OMNI	GSA	LRR sd	5000000	-5.010158936610714	-0.00230815865362311	-0.005104804781159376	10.35385368181818	0.036701508791012576	0.004890071258454908
OMNI	GSA	Perfect Match	0	-0.7995952239952144	-8.656728359608189e-4	-0.0021315083901399024	1.2286084931216932	0.006943552469493305	0.0039906550235611965
