Method	MaxD	QC	CNV_Type	CNV_Size	TP	FP	FN	Sensitivity	PPV	FNR	FDR	F1	FMI	JI
FullSet	0	Raw	All	All	288602	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	All	Small	274745	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	All	Medium	13094	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	All	Large	556	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	All	Very Large	194	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	All	Ultra Large	13	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	Deletions	All	213674	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	Deletions	Small	207722	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	Deletions	Medium	5770	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	Deletions	Large	124	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	Deletions	Very Large	49	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	Deletions	Ultra Large	9	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	Duplications	All	74928	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	Duplications	Small	67023	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	Duplications	Medium	7324	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	Duplications	Large	432	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	Duplications	Very Large	145	0	0	1	1	0	0	1	1	1
FullSet	0	Raw	Duplications	Ultra Large	4	0	0	1	1	0	0	1	1	1
FullSet	0	QCd	All	All	49879	0	151934	0.247	1	0.753	0	0.396	0.497	0.247
FullSet	0	QCd	All	Small	38965	0	150942	0.205	1	0.795	0	0.34	0.453	0.205
FullSet	0	QCd	All	Medium	10297	0	954	0.915	1	0.085	0	0.956	0.957	0.915
FullSet	0	QCd	All	Large	482	0	14	0.972	1	0.028	0	0.986	0.986	0.972
FullSet	0	QCd	All	Very Large	124	0	24	0.838	1	0.162	0	0.912	0.915	0.838
FullSet	0	QCd	All	Ultra Large	11	0	0	1	1	0	0	1	1	1
FullSet	0	QCd	Deletions	All	29203	0	119517	0.196	1	0.804	0	0.328	0.443	0.196
FullSet	0	QCd	Deletions	Small	24357	0	119143	0.17	1	0.83	0	0.29	0.412	0.17
FullSet	0	QCd	Deletions	Medium	4686	0	373	0.926	1	0.074	0	0.962	0.962	0.926
FullSet	0	QCd	Deletions	Large	108	0	1	0.991	1	0.009	0	0.995	0.995	0.991
FullSet	0	QCd	Deletions	Very Large	44	0	0	1	1	0	0	1	1	1
FullSet	0	QCd	Deletions	Ultra Large	8	0	0	1	1	0	0	1	1	1
FullSet	0	QCd	Duplications	All	20676	0	32417	0.389	1	0.611	0	0.561	0.624	0.389
FullSet	0	QCd	Duplications	Small	14608	0	31799	0.315	1	0.685	0	0.479	0.561	0.315
FullSet	0	QCd	Duplications	Medium	5611	0	581	0.906	1	0.094	0	0.951	0.952	0.906
FullSet	0	QCd	Duplications	Large	374	0	13	0.966	1	0.034	0	0.983	0.983	0.966
FullSet	0	QCd	Duplications	Very Large	80	0	24	0.769	1	0.231	0	0.87	0.877	0.769
FullSet	0	QCd	Duplications	Ultra Large	3	0	0	1	1	0	0	1	1	1
PerfectMatch	0	Raw	All	All	9212	1961	240409	0.037	0.824	0.963	0.176	0.071	0.174	0.037
PerfectMatch	0	Raw	All	Small	5998	1766	232440	0.025	0.773	0.975	0.227	0.049	0.139	0.025
PerfectMatch	0	Raw	All	Medium	2882	193	7749	0.271	0.937	0.729	0.063	0.421	0.504	0.266
PerfectMatch	0	Raw	All	Large	210	2	175	0.545	0.991	0.455	0.009	0.704	0.735	0.543
PerfectMatch	0	Raw	All	Very Large	110	0	43	0.719	1	0.281	0	0.837	0.848	0.719
PerfectMatch	0	Raw	All	Ultra Large	12	0	2	0.857	1	0.143	0	0.923	0.926	0.857
PerfectMatch	0	Raw	Deletions	All	4038	979	181816	0.022	0.805	0.978	0.195	0.042	0.132	0.022
PerfectMatch	0	Raw	Deletions	Small	3077	875	178025	0.017	0.779	0.983	0.221	0.033	0.115	0.017
PerfectMatch	0	Raw	Deletions	Medium	877	104	3730	0.19	0.894	0.81	0.106	0.314	0.413	0.186
PerfectMatch	0	Raw	Deletions	Large	35	0	56	0.385	1	0.615	0	0.556	0.62	0.385
PerfectMatch	0	Raw	Deletions	Very Large	41	0	4	0.911	1	0.089	0	0.953	0.955	0.911
PerfectMatch	0	Raw	Deletions	Ultra Large	8	0	1	0.889	1	0.111	0	0.941	0.943	0.889
PerfectMatch	0	Raw	Duplications	All	5174	982	58593	0.081	0.84	0.919	0.16	0.148	0.261	0.08
PerfectMatch	0	Raw	Duplications	Small	2921	891	54415	0.051	0.766	0.949	0.234	0.096	0.198	0.05
PerfectMatch	0	Raw	Duplications	Medium	2005	89	4019	0.333	0.957	0.667	0.043	0.494	0.565	0.328
PerfectMatch	0	Raw	Duplications	Large	175	2	119	0.595	0.989	0.405	0.011	0.743	0.767	0.591
PerfectMatch	0	Raw	Duplications	Very Large	69	0	39	0.639	1	0.361	0	0.78	0.799	0.639
PerfectMatch	0	Raw	Duplications	Ultra Large	4	0	1	0.8	1	0.2	0	0.889	0.894	0.8
PerfectMatch	0	QCd	All	All	5971	662	186474	0.031	0.9	0.969	0.1	0.06	0.167	0.031
PerfectMatch	0	QCd	All	Small	3431	569	180295	0.019	0.858	0.981	0.142	0.037	0.127	0.019
PerfectMatch	0	QCd	All	Medium	2279	93	5997	0.275	0.961	0.725	0.039	0.428	0.514	0.272
